	Hor_ang	90	100	110	120	130	140	150	160	170	180
0	0	-0.002	0.005	0.027	0.015	0.015	-0.006	-0.014	-0.012	-0.017	0.008
1	2	0.037	-0.072	0.013	0.029	0.097	0.010	-0.003	0.066	0.034	0.019
2	4	-0.050	-0.042	0.017	0.031	-0.018	-0.006	-0.049	0.021	0.010	0.072
3	6	0.050	-0.028	0.023	0.030	0.014	0.044	0.008	0.002	0.017	0.023
4	8	0.024	0.004	-0.073	-0.033	0.000	0.029	0.028	0.034	-0.022	0.029
5	10	0.034	0.013	0.019	-0.007	0.005	0.023	0.020	-0.014	-0.026	0.018
6	12	0.008	-0.015	0.040	0.007	-0.020	0.022	0.044	0.039	0.003	-0.010
7	14	-0.019	0.030	-0.013	0.014	0.010	0.050	-0.046	0.027	-0.031	-0.019
8	16	0.043	-0.025	-0.022	-0.003	-0.017	0.029	0.029	-0.017	-0.026	0.033
9	18	0.016	0.046	0.007	-0.017	0.007	-0.030	0.048	0.014	-0.001	0.024
10	20	0.024	-0.028	-0.009	0.040	0.074	0.084	0.017	0.041	0.043	0.062
11	22	-0.001	0.101	0.082	0.024	0.028	0.079	-0.031	0.024	-0.040	-0.006
12	24	0.025	0.035	0.011	0.053	0.030	0.050	0.018	0.013	0.024	0.075
13	26	-0.003	-0.025	-0.029	-0.043	-0.013	0.023	0.033	0.065	-0.019	0.084
14	28	-0.021	0.025	0.066	-0.006	0.157	0.017	0.021	0.016	0.024	-0.003
15	30	0.050	0.030	0.014	0.026	-0.053	-0.035	0.083	-0.030	0.054	-0.007
16	32	0.004	0.010	0.106	0.007	0.068	0.052	0.101	0.100	-0.067	-0.003
17	34	0.116	0.061	0.059	0.003	-0.035	0.013	0.038	0.047	0.035	0.000
18	36	0.002	-0.012	-0.046	0.100	0.060	-0.039	0.059	0.038	0.120	0.052
19	38	0.016	-0.045	0.013	0.022	0.119	-0.014	0.059	0.058	0.006	0.017
20	40	0.010	0.100	-0.024	0.053	0.060	0.082	0.072	0.097	0.083	0.069
21	42	0.053	0.102	0.051	0.047	0.013	0.032	0.019	-0.024	-0.067	0.032
22	44	0.025	0.097	-0.062	0.040	0.101	-0.033	0.011	-0.070	0.004	0.093
23	46	0.053	0.043	-0.059	0.068	0.099	0.049	0.060	0.028	0.069	0.086
24	48	0.087	0.181	0.072	0.080	0.022	0.091	-0.016	-0.006	0.096	0.067
25	50	0.141	0.062	0.075	0.071	0.149	0.124	-0.019	0.108	0.138	0.060
26	52	0.020	0.080	0.021	0.100	0.076	0.106	0.105	0.171	0.072	0.189
27	54	0.093	0.131	0.127	0.178	0.027	0.169	0.105	0.033	0.032	0.066
28	56	0.029	0.208	0.131	0.103	0.172	0.053	0.074	0.125	0.138	0.069
29	58	0.158	0.108	-0.001	0.072	0.088	0.079	0.081	0.100	0.131	0.010
30	60	0.020	0.060	0.133	0.197	0.120	0.174	0.181	0.065	0.181	0.126
31	62	0.186	0.118	0.223	0.206	0.143	0.166	0.095	0.144	0.134	0.237
32	64	0.151	0.135	0.291	0.319	0.151	0.215	0.199	0.248	0.285	0.151
33	66	0.192	0.377	0.140	0.303	0.312	0.265	0.283	0.376	0.430	0.253
34	68	0.511	0.373	0.395	0.485	0.420	0.497	0.444	0.387	0.406	0.408
35	70	2.273	1.265	1.628	0.942	2.091	1.044	1.121	0.629	0.618	0.456
36	72	7.825	6.548	6.218	5.002	5.842	7.161	4.321	3.449	1.895	1.985
37	74	21.191	21.968	18.392	14.505	15.328	18.207	17.521	12.808	11.372	9.277
38	76	45.257	44.972	41.453	36.647	37.551	43.108	42.680	39.961	36.421	32.165
39	78	59.932	60.875	59.957	60.718	58.319	57.453	57.602	57.393	56.480	57.920
40	80	69.248	71.140	71.195	72.328	72.256	71.194	68.166	67.669	69.238	70.964
41	82	75.621	76.582	75.368	75.345	75.268	75.932	75.105	74.435	73.288	73.014
42	84	76.216	77.760	76.953	77.684	77.917	78.652	78.324	77.843	76.920	76.147
43	86	76.170	77.471	76.950	77.759	77.469	77.971	77.754	77.923	77.463	77.080
44	88	74.985	76.604	75.938	76.737	76.537	76.888	76.766	77.019	76.940	76.830
45	90	75.091	76.023	75.382	75.888	75.766	76.134	75.839	76.145	76.089	76.136
46	92	75.400	76.608	75.795	76.120	76.006	76.246	76.031	76.156	75.943	76.188
47	94	75.435	76.502	75.857	76.540	76.128	76.673	76.571	76.819	76.786	76.860
48	96	75.258	76.382	76.092	76.539	76.291	76.994	76.523	76.632	76.761	77.097
49	98	75.206	75.524	74.169	74.467	74.270	75.375	75.642	75.754	75.498	75.303
