	Hor_ang	90	120	135	150	180
132	96	8.985	8.861	9.016	8.904	8.970
133	94	9.020	8.897	8.996	9.021	8.986
134	92	9.147	9.016	9.049	9.076	9.034
135	90	9.078	9.060	9.043	9.081	8.906
136	88	9.166	9.167	9.035	9.072	9.004
137	86	9.024	9.040	9.050	9.106	9.103
138	84	9.044	9.098	8.997	9.084	9.040
139	82	9.002	9.021	8.922	8.977	8.917
140	80	8.980	8.967	8.940	8.898	8.914
141	78	8.960	8.886	8.892	8.899	8.985
142	76	8.914	8.874	8.885	8.905	8.860
143	74	8.722	8.806	8.869	8.736	8.687
144	72	8.783	8.752	8.691	8.628	8.657
145	70	8.733	8.703	8.663	8.641	8.557
146	68	8.558	8.501	8.504	8.504	8.529
147	66	8.541	8.452	8.487	8.442	8.396
148	64	8.324	8.268	8.255	8.313	8.266
149	62	8.207	8.177	8.242	8.208	8.207
150	60	8.058	8.053	8.093	8.097	8.002
151	58	7.871	7.915	7.879	7.875	7.796
152	56	7.754	7.818	7.776	7.725	7.603
153	54	7.642	7.610	7.571	7.578	7.509
154	52	7.471	7.431	7.356	7.431	7.338
155	50	7.229	7.264	7.137	7.114	7.052
156	48	6.956	6.942	6.889	6.925	6.935
157	46	6.787	6.846	6.832	6.740	6.686
158	44	6.633	6.572	6.576	6.533	6.609
159	42	6.484	6.435	6.354	6.384	6.289
160	40	6.195	6.108	6.030	6.066	6.027
161	38	5.860	5.900	5.859	5.685	5.732
162	36	5.559	5.620	5.465	5.526	5.402
163	34	5.265	5.232	5.325	5.172	5.154
164	32	5.072	5.013	5.003	4.947	4.873
165	30	4.766	4.749	4.675	4.689	4.603
166	28	4.314	4.379	4.339	4.290	4.215
167	26	4.077	4.017	4.007	4.012	3.865
168	24	3.776	3.773	3.735	3.749	3.597
169	22	3.358	3.381	3.323	3.306	3.215
170	20	3.065	3.033	2.935	3.001	2.882
171	18	2.764	2.738	2.698	2.741	2.592
172	16	2.363	2.377	2.331	2.304	2.194
173	14	2.110	2.060	2.052	1.978	1.921
174	12	1.720	1.755	1.722	1.702	1.558
175	10	1.401	1.426	1.412	1.371	1.331
176	8	1.132	1.074	1.082	0.989	0.968
177	6	0.761	0.725	0.737	0.658	0.563
178	4	0.462	0.456	0.442	0.379	0.349
179	2	0.240	0.213	0.121	0.119	0.091
180	0	0.037	-0.032	0.018	-0.049	0.030
