	Hor_ang	90	120	135	150	180
132	96	13.804	13.869	13.809	13.891	13.881
133	94	13.910	13.909	13.913	13.960	13.927
134	92	13.843	13.957	13.910	13.989	13.973
135	90	13.874	13.924	13.880	13.963	13.979
136	88	13.898	13.858	13.918	13.999	13.996
137	86	13.897	13.980	14.063	13.978	13.999
138	84	13.882	13.980	13.926	13.918	14.062
139	82	13.904	13.992	13.900	13.933	13.857
140	80	13.820	14.001	13.875	13.940	13.923
141	78	13.805	14.013	13.842	13.934	13.987
142	76	13.714	13.883	13.876	13.938	13.773
143	74	13.781	13.818	13.759	13.912	13.888
144	72	13.785	13.797	13.876	13.801	13.882
145	70	13.669	13.695	13.839	13.811	13.865
146	68	13.538	13.646	13.738	13.694	13.800
147	66	13.502	13.629	13.647	13.656	13.811
148	64	13.420	13.578	13.548	13.731	13.787
149	62	13.376	13.510	13.610	13.655	13.757
150	60	13.171	13.396	13.463	13.567	13.593
151	58	13.152	13.374	13.354	13.490	13.375
152	56	13.089	13.201	13.241	13.282	13.130
153	54	12.889	13.039	12.962	13.056	13.006
154	52	12.691	12.920	12.854	12.820	12.795
155	50	12.548	12.696	12.580	12.715	12.620
156	48	12.400	12.444	12.416	12.365	12.437
157	46	12.207	12.184	12.228	12.279	12.251
158	44	12.011	12.267	12.110	12.208	12.068
159	42	11.834	11.980	11.891	11.984	11.942
160	40	11.692	11.760	11.755	11.780	11.687
161	38	11.298	11.567	11.494	11.507	11.432
162	36	11.010	11.236	11.169	11.264	11.073
163	34	10.853	11.092	11.113	10.972	10.837
164	32	10.521	10.831	10.882	10.679	10.440
165	30	10.202	10.501	10.572	10.469	10.219
166	28	9.797	10.169	10.216	10.170	9.768
167	26	9.446	9.838	9.930	9.846	9.455
168	24	9.102	9.485	9.598	9.436	9.091
169	22	8.667	9.080	9.151	8.999	8.462
170	20	8.202	8.575	8.797	8.624	7.937
171	18	7.549	8.023	8.217	8.000	7.315
172	16	6.871	7.330	7.554	7.239	6.605
173	14	6.328	6.979	7.058	6.858	6.055
174	12	5.536	6.291	6.318	6.045	5.256
175	10	4.897	5.592	5.652	5.352	4.598
176	8	4.042	4.728	4.711	4.452	3.777
177	6	3.101	3.641	3.441	3.380	2.629
178	4	2.156	2.522	2.195	2.065	1.566
179	2	1.185	1.260	0.924	0.826	0.712
180	0	0.597	0.593	0.454	0.352	0.344
