	Hor_ang	90	120	135	150	180
132	96	13.778	13.728	13.813	13.785	13.795
133	94	13.690	13.795	13.855	13.795	13.837
134	92	13.756	13.858	13.866	13.846	13.760
135	90	13.710	13.813	13.945	13.851	13.936
136	88	13.822	13.824	13.864	13.987	13.981
137	86	13.758	13.849	13.830	13.889	13.983
138	84	13.768	13.892	13.935	13.874	13.989
139	82	13.717	13.955	13.971	13.902	13.821
140	80	13.765	13.915	14.010	13.809	13.861
141	78	13.774	13.815	13.974	13.874	13.857
142	76	13.714	13.786	13.835	13.935	13.797
143	74	13.789	13.717	13.837	13.787	13.675
144	72	13.637	13.759	13.791	13.829	13.779
145	70	13.656	13.638	13.669	13.643	13.666
146	68	13.626	13.655	13.584	13.563	13.644
147	66	13.494	13.599	13.586	13.510	13.558
148	64	13.430	13.624	13.527	13.543	13.366
149	62	13.311	13.523	13.466	13.410	13.324
150	60	13.346	13.359	13.336	13.279	13.244
151	58	13.234	13.252	13.235	13.229	13.116
152	56	13.094	13.206	13.290	13.204	13.054
153	54	12.934	13.110	13.180	13.159	12.874
154	52	12.681	13.036	12.881	12.979	12.726
155	50	12.562	12.794	12.890	12.724	12.575
156	48	12.517	12.716	12.735	12.614	12.362
157	46	12.324	12.539	12.577	12.543	12.315
158	44	12.141	12.406	12.465	12.280	12.129
159	42	12.046	12.208	12.179	12.068	11.901
160	40	11.892	12.151	12.024	11.890	11.653
161	38	11.611	11.797	11.745	11.752	11.436
162	36	11.442	11.545	11.583	11.463	11.101
163	34	11.148	11.450	11.361	11.304	10.820
164	32	10.982	11.063	11.104	10.986	10.548
165	30	10.646	10.904	10.814	10.765	10.346
166	28	10.302	10.596	10.558	10.422	9.937
167	26	10.036	10.323	10.329	10.250	9.699
168	24	9.714	10.109	10.038	9.930	9.399
169	22	9.395	9.706	9.733	9.540	8.824
170	20	8.975	9.438	9.342	9.109	8.373
171	18	8.405	8.933	8.842	8.632	7.803
172	16	7.764	8.226	8.281	7.970	7.146
173	14	7.272	7.717	7.903	7.507	6.549
174	12	6.561	7.033	7.221	6.769	5.813
175	10	5.895	6.414	6.715	6.157	5.091
176	8	5.011	5.686	5.925	5.326	4.301
177	6	4.067	4.693	4.806	4.265	3.418
178	4	2.959	3.543	3.512	3.008	2.328
179	2	1.772	2.212	1.889	1.769	1.159
180	0	0.993	1.318	0.904	1.004	0.551
