Date      - 2021-10-08T11:26:24
Vref      = 3.318 V
Us(+5V)   = 4.911 V
Temp_SiPM = 21.878 C
Temp_CPU  = 32.861 C
U_LED_on  = 2.85 V, (402nm)
+U_SiPM   = 3.288 V
-U_SiPM   = -23.712 V
U_SiPM    = 27.004 V
I_SiPM    = 5.562 uA
No t[s] T[C] U+_SiPM[V] U-_SiPM[V] Vert.angl[grad]. Hor.angl[grad] I_SiPM[uA] I0_SiPM[uA] 
1 13.59 21.918 3.288 -23.717 90 0 5.568 1.705
2 15.594 21.868 3.288 -23.717 90 2 5.895 1.712
3 17.601 21.869 3.289 -23.711 90 4 6.336 1.686
4 19.607 21.873 3.289 -23.718 90 6 6.744 1.694
5 21.611 21.934 3.289 -23.712 90 8 7.253 1.703
6 23.613 21.851 3.288 -23.716 90 10 7.614 1.711
7 25.619 21.899 3.288 -23.716 90 12 7.985 1.71
8 27.627 21.863 3.289 -23.713 90 14 8.354 1.711
9 29.634 21.936 3.289 -23.714 90 16 8.693 1.687
10 31.638 21.856 3.288 -23.712 90 18 9.075 1.688
11 33.64 21.831 3.288 -23.713 90 20 9.471 1.718
12 35.644 21.841 3.288 -23.715 90 22 9.789 1.69
13 37.652 21.845 3.288 -23.711 90 24 10.078 1.714
14 39.657 21.988 3.288 -23.71 90 26 10.289 1.676
15 41.664 21.843 3.289 -23.717 90 28 10.484 1.701
16 43.668 21.881 3.288 -23.714 90 30 10.698 1.724
17 45.67 21.827 3.289 -23.713 90 32 10.931 1.716
18 47.674 21.807 3.288 -23.712 90 34 11.109 1.73
19 49.68 21.972 3.288 -23.713 90 36 11.234 1.675
20 51.688 21.885 3.288 -23.714 90 38 11.41 1.707
21 53.694 21.883 3.289 -23.715 90 40 11.586 1.659
22 55.696 21.98 3.289 -23.713 90 42 11.771 1.676
23 57.7 21.969 3.288 -23.715 90 44 12.011 1.766
24 59.705 21.97 3.288 -23.71 90 46 12.102 1.745
25 61.711 21.914 3.288 -23.713 90 48 12.319 1.699
26 63.715 21.86 3.288 -23.714 90 50 12.489 1.74
27 65.72 21.895 3.288 -23.714 90 52 12.563 1.696
28 67.725 21.806 3.288 -23.72 90 54 12.699 1.676
29 69.731 21.868 3.289 -23.719 90 56 12.826 1.754
30 71.734 21.888 3.288 -23.712 90 58 12.891 1.7
31 73.737 21.866 3.289 -23.712 90 60 13.019 1.697
32 75.741 21.931 3.289 -23.714 90 62 13.079 1.725
33 77.75 21.795 3.288 -23.711 90 64 13.184 1.734
34 79.75 21.923 3.288 -23.712 90 66 13.272 1.761
35 81.755 21.885 3.288 -23.714 90 68 13.342 1.759
36 83.761 21.876 3.288 -23.713 90 70 13.366 1.697
37 85.766 21.894 3.288 -23.712 90 72 13.529 1.728
38 87.771 21.847 3.289 -23.716 90 74 13.51 1.732
39 89.772 21.843 3.289 -23.711 90 76 13.53 1.74
40 91.777 21.817 3.288 -23.711 90 78 13.535 1.695
41 93.782 21.824 3.288 -23.715 90 80 13.715 1.644
42 95.786 21.806 3.288 -23.711 90 82 13.683 1.726
43 97.793 21.889 3.288 -23.718 90 84 13.687 1.75
44 99.796 21.941 3.288 -23.713 90 86 13.641 1.731
45 101.801 21.952 3.288 -23.715 90 88 13.732 1.759
46 103.802 21.838 3.288 -23.719 90 90 13.669 1.733
47 105.81 21.939 3.289 -23.715 90 92 13.65 1.749
48 107.812 21.804 3.288 -23.71 90 94 13.673 1.702
49 109.817 21.83 3.289 -23.715 90 96 13.619 1.753
50 111.822 21.828 3.289 -23.715 90 98 13.665 1.722
51 113.824 21.886 3.288 -23.713 90 100 13.631 1.755
52 115.828 21.851 3.288 -23.714 90 102 13.578 1.76
53 117.831 21.822 3.288 -23.719 90 104 13.497 1.645
54 119.835 21.845 3.288 -23.715 90 106 13.386 1.761
55 121.84 21.779 3.288 -23.713 90 108 13.386 1.723
56 123.844 21.855 3.289 -23.711 90 110 13.28 1.735
57 125.849 21.913 3.288 -23.714 90 112 13.193 1.738
58 127.851 21.881 3.289 -23.711 90 114 13.141 1.669
59 129.854 21.851 3.288 -23.715 90 116 13.018 1.748
60 131.859 21.86 3.288 -23.712 90 118 12.96 1.774
61 133.865 21.897 3.288 -23.71 90 120 12.817 1.711
62 135.867 21.858 3.289 -23.717 90 122 12.664 1.721
63 137.869 21.893 3.288 -23.716 90 124 12.556 1.706
64 139.875 21.746 3.289 -23.717 90 126 12.427 1.726
65 141.878 21.835 3.289 -23.711 90 128 12.22 1.719
66 143.88 21.816 3.289 -23.712 90 130 12.083 1.714
67 145.887 21.916 3.288 -23.717 90 132 11.856 1.756
68 147.888 21.893 3.288 -23.714 90 134 11.688 1.726
69 149.893 21.841 3.289 -23.715 90 136 11.498 1.73
70 151.896 21.866 3.289 -23.714 90 138 11.298 1.745
71 153.898 21.93 3.289 -23.714 90 140 11.191 1.715
72 155.902 21.869 3.289 -23.717 90 142 10.992 1.739
73 157.905 21.872 3.289 -23.717 90 144 10.768 1.714
74 159.91 21.869 3.288 -23.712 90 146 10.633 1.719
75 161.913 21.827 3.288 -23.716 90 148 10.329 1.737
76 163.917 21.898 3.289 -23.709 90 150 10.191 1.757
77 165.919 21.885 3.289 -23.71 90 152 9.864 1.74
78 167.921 21.957 3.289 -23.712 90 154 9.554 1.734
79 169.925 21.798 3.289 -23.718 90 156 9.263 1.713
80 171.928 21.857 3.289 -23.712 90 158 8.592 1.695
81 173.932 21.979 3.289 -23.717 90 160 8.182 1.768
82 175.935 21.885 3.289 -23.714 90 162 7.809 1.729
83 177.939 21.861 3.289 -23.718 90 164 7.517 1.755
84 179.941 21.904 3.289 -23.712 90 166 7.093 1.699
85 181.946 21.906 3.289 -23.712 90 168 6.755 1.741
86 183.947 21.969 3.289 -23.712 90 170 6.377 1.744
87 185.949 21.847 3.289 -23.715 90 172 6.063 1.747
88 187.953 21.902 3.289 -23.72 90 174 5.709 1.76
89 189.958 21.853 3.289 -23.712 90 176 5.208 1.769
90 191.961 21.92 3.288 -23.717 90 178 4.806 1.74
91 193.961 21.91 3.289 -23.715 90 180 4.789 1.754
92 195.965 21.947 3.289 -23.714 90 178 4.819 1.761
93 197.968 21.868 3.289 -23.72 90 176 5.241 1.695
94 199.971 21.903 3.289 -23.716 90 174 5.681 1.748
95 201.975 21.933 3.289 -23.72 90 172 6.023 1.733
96 203.977 21.809 3.289 -23.712 90 170 6.396 1.757
97 205.979 21.881 3.289 -23.711 90 168 6.673 1.735
98 207.983 21.839 3.289 -23.711 90 166 7.07 1.726
99 209.985 21.794 3.289 -23.712 90 164 7.455 1.749
100 211.987 21.865 3.289 -23.718 90 162 7.784 1.764
101 213.989 21.921 3.289 -23.717 90 160 8.146 1.742
102 215.994 21.89 3.289 -23.718 90 158 8.71 1.75
103 217.997 21.889 3.289 -23.714 90 156 9.232 1.757
104 219.997 21.83 3.289 -23.716 90 154 9.529 1.754
105 222.001 21.892 3.289 -23.712 90 152 9.845 1.752
106 224.002 21.937 3.289 -23.715 90 150 10.165 1.742
107 226.004 21.896 3.289 -23.714 90 148 10.313 1.749
108 228.008 21.796 3.288 -23.717 90 146 10.622 1.759
109 230.009 21.885 3.289 -23.715 90 144 10.832 1.761
110 232.013 21.882 3.289 -23.717 90 142 10.996 1.783
111 234.014 21.852 3.289 -23.715 90 140 11.162 1.764
112 236.019 21.783 3.288 -23.715 90 138 11.358 1.661
113 238.02 21.949 3.289 -23.714 90 136 11.534 1.752
114 240.022 21.871 3.288 -23.719 90 134 11.77 1.762
115 242.023 21.835 3.289 -23.713 90 132 11.911 1.751
116 244.027 22.017 3.289 -23.718 90 130 12.109 1.758
117 246.028 21.974 3.288 -23.713 90 128 12.265 1.76
118 248.031 21.831 3.289 -23.713 90 126 12.476 1.762
119 250.033 21.935 3.289 -23.71 90 124 12.558 1.732
120 252.035 21.902 3.288 -23.717 90 122 12.728 1.783
121 254.037 21.854 3.288 -23.717 90 120 12.846 1.811
122 256.04 21.993 3.288 -23.712 90 118 12.91 1.788
123 258.042 21.885 3.289 -23.715 90 116 13.018 1.806
124 260.043 21.771 3.288 -23.712 90 114 13.152 1.764
125 262.045 21.893 3.289 -23.719 90 112 13.253 1.76
126 264.047 21.776 3.289 -23.718 90 110 13.328 1.789
127 266.049 21.898 3.289 -23.716 90 108 13.284 1.788
128 268.05 21.95 3.289 -23.714 90 106 13.456 1.813
129 270.052 21.82 3.288 -23.713 90 104 13.583 1.766
130 272.054 21.888 3.288 -23.717 90 102 13.597 1.766
131 274.055 21.864 3.288 -23.717 90 100 13.666 1.758
132 276.057 21.826 3.288 -23.71 90 98 13.703 1.789
133 278.06 21.837 3.288 -23.716 90 96 13.724 1.744
134 280.06 21.831 3.288 -23.719 90 94 13.787 1.808
135 282.063 21.821 3.289 -23.717 90 92 13.778 1.79
136 284.065 21.899 3.288 -23.716 90 90 13.778 1.776
137 286.066 21.921 3.289 -23.715 90 88 13.823 1.791
138 288.068 21.794 3.288 -23.716 90 86 13.724 1.779
139 290.069 22.006 3.289 -23.713 90 84 13.669 1.836
140 292.071 21.877 3.288 -23.714 90 82 13.799 1.732
141 294.072 21.818 3.288 -23.717 90 80 13.761 1.736
142 296.074 21.916 3.289 -23.712 90 78 13.719 1.772
143 298.075 21.797 3.288 -23.717 90 76 13.687 1.836
144 300.077 21.772 3.289 -23.714 90 74 13.68 1.814
145 302.078 21.858 3.288 -23.713 90 72 13.625 1.801
146 304.079 21.788 3.288 -23.713 90 70 13.528 1.825
147 306.081 21.883 3.289 -23.71 90 68 13.421 1.773
148 308.082 21.865 3.289 -23.714 90 66 13.293 1.81
149 310.083 21.893 3.289 -23.715 90 64 13.307 1.765
150 312.085 21.88 3.289 -23.716 90 62 13.238 1.843
151 314.086 21.88 3.288 -23.718 90 60 13.177 1.815
152 316.087 21.81 3.288 -23.716 90 58 13.045 1.792
153 318.088 21.906 3.289 -23.715 90 56 12.964 1.78
154 320.09 21.801 3.288 -23.716 90 54 12.842 1.716
155 322.091 21.818 3.288 -23.715 90 52 12.636 1.789
156 324.092 21.734 3.288 -23.718 90 50 12.615 1.802
157 326.092 21.778 3.288 -23.714 90 48 12.468 1.821
158 328.094 21.809 3.288 -23.713 90 46 12.266 1.796
159 330.094 21.848 3.288 -23.715 90 44 12.174 1.778
160 332.096 21.893 3.288 -23.717 90 42 11.992 1.745
161 334.096 21.823 3.289 -23.716 90 40 11.806 1.805
162 336.097 21.838 3.288 -23.717 90 38 11.621 1.806
163 338.098 21.826 3.288 -23.716 90 36 11.383 1.802
164 340.099 21.835 3.289 -23.713 90 34 11.182 1.806
165 342.1 21.871 3.288 -23.718 90 32 11.02 1.785
166 344.101 21.917 3.288 -23.722 90 30 10.801 1.82
167 346.102 21.839 3.289 -23.718 90 28 10.601 1.832
168 348.102 21.927 3.289 -23.716 90 26 10.407 1.828
169 350.103 21.835 3.288 -23.718 90 24 10.195 1.79
170 352.104 21.909 3.288 -23.709 90 22 9.907 1.79
171 354.104 21.868 3.289 -23.717 90 20 9.633 1.795
172 356.105 21.79 3.288 -23.717 90 18 9.171 1.809
173 358.106 21.856 3.289 -23.712 90 16 8.774 1.828
174 360.106 21.902 3.289 -23.717 90 14 8.473 1.823
175 362.107 21.847 3.289 -23.711 90 12 8.029 1.764
176 364.107 21.824 3.289 -23.715 90 10 7.693 1.799
177 366.108 21.891 3.288 -23.714 90 8 7.307 1.812
178 368.108 21.78 3.289 -23.715 90 6 6.817 1.809
179 370.109 21.8 3.288 -23.721 90 4 6.43 1.82
180 372.109 21.856 3.288 -23.714 90 2 6.042 1.842
181 374.11 21.863 3.289 -23.717 90 0 5.672 1.843
182 389.168 21.991 3.289 -23.717 120 0 5.824 1.788
183 391.17 21.961 3.289 -23.717 120 2 6.165 1.756
184 393.176 21.762 3.289 -23.717 120 4 6.519 1.758
185 395.185 21.971 3.289 -23.714 120 6 6.976 1.757
186 397.187 21.885 3.289 -23.718 120 8 7.454 1.773
187 399.193 21.938 3.289 -23.716 120 10 7.749 1.775
188 401.202 21.868 3.289 -23.716 120 12 8.174 1.765
189 403.203 21.783 3.289 -23.714 120 14 8.513 1.721
190 405.207 21.719 3.288 -23.72 120 16 8.809 1.772
191 407.214 21.858 3.289 -23.711 120 18 9.205 1.743
192 409.219 21.893 3.289 -23.712 120 20 9.541 1.786
193 411.226 21.905 3.288 -23.713 120 22 9.988 1.79
194 413.231 21.83 3.289 -23.714 120 24 10.236 1.776
195 415.233 21.805 3.288 -23.716 120 26 10.451 1.779
196 417.238 21.945 3.288 -23.722 120 28 10.574 1.702
197 419.244 21.857 3.289 -23.716 120 30 10.795 1.764
198 421.248 21.914 3.288 -23.716 120 32 11.046 1.789
199 423.254 21.881 3.289 -23.721 120 34 11.299 1.797
200 425.258 21.846 3.288 -23.714 120 36 11.361 1.799
201 427.263 21.851 3.288 -23.714 120 38 11.585 1.804
202 429.269 21.959 3.288 -23.712 120 40 11.723 1.727
203 431.273 21.904 3.288 -23.714 120 42 11.907 1.694
204 433.278 21.826 3.289 -23.719 120 44 12.192 1.728
205 435.284 21.92 3.289 -23.715 120 46 12.266 1.809
206 437.287 21.92 3.288 -23.722 120 48 12.431 1.82
207 439.291 21.847 3.288 -23.719 120 50 12.587 1.709
208 441.297 21.83 3.289 -23.712 120 52 12.646 1.809
209 443.303 21.906 3.288 -23.719 120 54 12.725 1.784
210 445.305 21.851 3.288 -23.719 120 56 12.951 1.805
211 447.313 21.843 3.288 -23.718 120 58 13.017 1.786
212 449.317 21.902 3.288 -23.718 120 60 13.079 1.824
213 451.322 21.949 3.289 -23.716 120 62 13.177 1.796
214 453.326 21.89 3.289 -23.714 120 64 13.261 1.788
215 455.332 21.891 3.289 -23.718 120 66 13.33 1.812
216 457.333 21.971 3.289 -23.718 120 68 13.343 1.74
217 459.338 21.806 3.289 -23.716 120 70 13.545 1.838
218 461.343 21.967 3.289 -23.715 120 72 13.606 1.767
219 463.35 21.931 3.289 -23.717 120 74 13.672 1.838
220 465.351 22.019 3.288 -23.719 120 76 13.715 1.784
221 467.355 21.835 3.288 -23.712 120 78 13.755 1.812
222 469.359 21.888 3.288 -23.709 120 80 13.804 1.709
223 471.363 21.914 3.289 -23.718 120 82 13.816 1.81
224 473.369 21.897 3.288 -23.71 120 84 13.807 1.74
225 475.372 21.897 3.289 -23.712 120 86 13.81 1.748
226 477.376 21.911 3.289 -23.718 120 88 13.866 1.791
227 479.38 21.868 3.288 -23.717 120 90 13.767 1.798
228 481.387 21.88 3.288 -23.715 120 92 13.809 1.767
229 483.388 21.991 3.289 -23.717 120 94 13.818 1.849
230 485.395 21.913 3.289 -23.715 120 96 13.882 1.823
231 487.397 21.903 3.289 -23.714 120 98 13.784 1.76
232 489.401 21.935 3.289 -23.719 120 100 13.731 1.805
233 491.404 21.84 3.288 -23.718 120 102 13.691 1.802
234 493.408 21.928 3.289 -23.718 120 104 13.628 1.822
235 495.414 21.831 3.288 -23.716 120 106 13.625 1.826
236 497.418 21.862 3.288 -23.719 120 108 13.509 1.84
237 499.419 21.933 3.289 -23.716 120 110 13.466 1.854
238 501.425 21.918 3.288 -23.717 120 112 13.341 1.812
239 503.428 21.885 3.289 -23.713 120 114 13.249 1.823
240 505.433 21.929 3.289 -23.718 120 116 13.126 1.855
241 507.437 21.888 3.288 -23.716 120 118 13.058 1.864
242 509.439 21.872 3.289 -23.717 120 120 13.005 1.818
243 511.445 21.82 3.289 -23.722 120 122 12.753 1.793
244 513.447 21.793 3.289 -23.717 120 124 12.697 1.871
245 515.45 21.851 3.289 -23.717 120 126 12.612 1.853
246 517.455 21.932 3.289 -23.72 120 128 12.417 1.829
247 519.458 21.837 3.289 -23.719 120 130 12.295 1.825
248 521.463 21.847 3.288 -23.718 120 132 12.023 1.753
249 523.463 21.872 3.289 -23.722 120 134 11.933 1.863
250 525.47 21.769 3.288 -23.716 120 136 11.72 1.866
251 527.472 21.93 3.289 -23.719 120 138 11.549 1.886
252 529.477 21.892 3.288 -23.719 120 140 11.353 1.866
253 531.48 21.814 3.288 -23.717 120 142 11.151 1.839
254 533.481 21.81 3.288 -23.722 120 144 10.973 1.863
255 535.487 21.901 3.288 -23.716 120 146 10.827 1.862
