Date      - 2021-09-28T11:25:09
Vref      = 3.318 V
Us(+5V)   = 4.911 V
Temp_SiPM = 22.369 C
Temp_CPU  = 31.888 C
U_LED_on  = 2.85 V
+U_SiPM   = 3.289 V
-U_SiPM   = -23.714 V
U_SiPM    = 27.003 V
I_SiPM    = 0.646 uA
>No. t[s] T[C] U+_SiPM[V] U-_SiPM[V] Vert.angl[grad]. Hor.angl[grad] I_SiPM[uA] I0_SiPM[uA] 
>1868 3854.252 21.798 3.289 -23.727 90 114 0.938 0.63
>1869 3856.257 21.755 3.289 -23.72 90 116 0.915 0.605
>1870 3858.26 21.86 3.289 -23.725 90 118 0.86 0.655
>1871 3860.262 21.801 3.289 -23.721 90 120 0.796 0.636
>1872 3862.267 21.763 3.289 -23.719 90 122 0.688 0.653
>1873 3864.269 21.742 3.289 -23.715 90 124 0.69 0.654
>1874 3866.274 21.856 3.289 -23.724 90 126 0.682 0.624
>1875 3868.278 21.845 3.289 -23.721 90 128 0.706 0.652
>1876 3870.282 21.86 3.289 -23.73 90 130 0.674 0.591
>1877 3872.284 21.816 3.289 -23.727 90 132 0.688 0.615
>1878 3874.288 21.826 3.289 -23.718 90 134 0.685 0.607
>1879 3876.291 21.844 3.289 -23.725 90 136 0.672 0.652
>1880 3878.295 21.817 3.289 -23.73 90 138 0.652 0.596
>1881 3880.298 21.774 3.289 -23.723 90 140 0.651 0.608
>1882 3882.303 21.77 3.289 -23.721 90 142 0.655 0.643
>1883 3884.305 21.793 3.289 -23.722 90 144 0.643 0.605
>1884 3886.308 21.746 3.289 -23.726 90 146 0.643 0.624
>1885 3888.311 21.862 3.289 -23.719 90 148 0.638 0.633
>1886 3890.314 21.793 3.289 -23.722 90 150 0.638 0.607
>1887 3892.318 21.899 3.289 -23.726 90 152 0.63 0.624
>1888 3894.322 21.849 3.289 -23.725 90 154 0.633 0.628
>1889 3896.325 21.824 3.289 -23.723 90 156 0.652 0.635
>1890 3898.328 21.801 3.289 -23.721 90 158 0.633 0.634
>1891 3900.33 21.826 3.289 -23.72 90 160 0.631 0.607
>1892 3902.333 21.864 3.289 -23.72 90 162 0.571 0.635
>1893 3904.336 21.851 3.289 -23.722 90 164 0.62 0.622
>1894 3906.339 21.86 3.289 -23.728 90 166 0.646 0.585
>1895 3908.341 21.79 3.289 -23.715 90 168 0.646 0.639
>1896 3910.344 21.762 3.289 -23.727 90 170 0.645 0.581
>1897 3912.347 21.847 3.289 -23.723 90 172 0.633 0.614
>1898 3914.351 21.862 3.289 -23.723 90 174 0.639 0.579
>1899 3916.354 21.797 3.289 -23.729 90 176 0.664 0.637
>1900 3918.357 21.83 3.289 -23.723 90 178 0.607 0.621
>1901 3920.359 21.917 3.289 -23.722 90 180 0.628 0.628
>1902 3922.361 21.879 3.289 -23.722 90 178 0.616 0.644
>1903 3924.363 21.813 3.289 -23.72 90 176 0.658 0.634
>1904 3926.369 21.865 3.289 -23.724 90 174 0.636 0.647
>1905 3928.37 21.833 3.289 -23.718 90 172 0.626 0.63
>1906 3930.372 21.787 3.289 -23.721 90 170 0.652 0.622
>1907 3932.374 21.788 3.289 -23.725 90 168 0.653 0.613
>1908 3934.378 21.766 3.289 -23.722 90 166 0.645 0.645
>1909 3936.379 21.785 3.289 -23.721 90 164 0.633 0.636
>1910 3938.382 21.893 3.289 -23.723 90 162 0.622 0.637
>1911 3940.385 21.88 3.289 -23.722 90 160 0.624 0.608
>1912 3942.387 21.738 3.289 -23.723 90 158 0.652 0.62
>1913 3944.392 21.791 3.289 -23.726 90 156 0.628 0.599
>1914 3946.393 21.801 3.289 -23.717 90 154 0.631 0.603
>1915 3948.394 21.825 3.289 -23.722 90 152 0.645 0.628
>1916 3950.398 21.76 3.289 -23.723 90 150 0.623 0.607
>1917 3952.399 21.858 3.289 -23.724 90 148 0.585 0.636
>1918 3954.402 21.763 3.289 -23.723 90 146 0.585 0.637
>1919 3956.405 21.769 3.289 -23.721 90 144 0.648 0.66
>1920 3958.407 21.805 3.289 -23.721 90 142 0.654 0.616
>1921 3960.408 21.79 3.289 -23.724 90 140 0.637 0.613
>1922 3962.414 21.844 3.289 -23.724 90 138 0.685 0.646
>1923 3964.414 21.858 3.289 -23.724 90 136 0.663 0.634
>1924 3966.415 21.809 3.289 -23.723 90 134 0.694 0.619
>1925 3968.417 21.83 3.288 -23.724 90 132 0.667 0.631
>1926 3970.419 21.812 3.289 -23.722 90 130 0.679 0.616
>1927 3972.422 21.725 3.288 -23.726 90 128 0.683 0.648
>1928 3974.423 21.836 3.289 -23.723 90 126 0.704 0.596
>1929 3976.426 21.778 3.288 -23.722 90 124 0.657 0.633
>1930 3978.427 21.826 3.289 -23.727 90 122 0.712 0.688
>1931 3980.429 21.797 3.288 -23.725 90 120 0.764 0.617
>1932 3982.431 21.807 3.288 -23.725 90 118 0.803 0.626
>1933 3984.433 21.779 3.289 -23.721 90 116 0.892 0.6
>1934 3986.437 21.777 3.289 -23.725 90 114 0.924 0.637
>1935 3988.437 21.835 3.288 -23.724 90 112 1.05 0.645
>1936 3990.44 21.828 3.289 -23.728 90 110 2.553 0.563
>1937 3992.441 21.82 3.289 -23.716 90 108 10.602 0.625
>1938 3994.442 21.828 3.288 -23.721 90 106 25.953 0.65
>1939 3996.445 21.865 3.288 -23.722 90 104 49.691 0.603
>1940 3998.447 21.805 3.287 -23.718 90 102 59.594 0.628
>1941 4000.448 21.886 3.288 -23.714 90 100 69.385 0.672
>1942 4002.449 21.864 3.287 -23.712 90 98 75.681 0.675
>1943 4004.451 21.909 3.287 -23.714 90 96 77.334 0.674
>1944 4006.452 21.788 3.288 -23.717 90 94 77.228 0.676
>1945 4008.455 21.785 3.288 -23.717 90 92 77.342 0.621
>1946 4010.456 21.794 3.287 -23.714 90 90 76.974 0.686
>1947 4012.458 21.772 3.288 -23.714 90 88 76.848 0.659
>1948 4014.458 21.758 3.288 -23.715 90 86 77.599 0.671
>1949 4016.461 21.798 3.288 -23.72 90 84 78.209 0.619
>1950 4018.462 21.777 3.287 -23.716 90 82 78.178 0.642
>1951 4020.463 21.689 3.287 -23.712 90 80 73.815 0.632
>1952 4022.464 21.856 3.288 -23.713 90 78 65.085 0.649
>1953 4024.466 21.852 3.288 -23.723 90 76 53.653 0.623
>1954 4026.467 21.893 3.288 -23.72 90 74 28.745 0.592
>1955 4028.468 21.789 3.288 -23.723 90 72 13.067 0.641
>1956 4030.47 21.869 3.288 -23.722 90 70 4.54 0.639
>1957 4032.471 21.793 3.288 -23.725 90 68 1.263 0.614
>1958 4034.472 21.747 3.289 -23.719 90 66 0.986 0.589
>1959 4036.473 21.761 3.289 -23.722 90 64 0.895 0.639
>1960 4038.474 21.822 3.288 -23.725 90 62 0.848 0.544
>1961 4040.476 21.824 3.289 -23.722 90 60 0.8 0.667
>1962 4042.477 21.831 3.289 -23.722 90 58 0.76 0.634
>1963 4044.477 21.791 3.289 -23.721 90 56 0.754 0.657
>1964 4046.478 21.842 3.289 -23.723 90 54 0.745 0.631
>1965 4048.48 21.804 3.289 -23.724 90 52 0.73 0.59
>1966 4050.481 21.779 3.289 -23.726 90 50 0.719 0.616
>1967 4052.482 21.79 3.289 -23.726 90 48 0.702 0.543
>1968 4054.483 21.781 3.289 -23.723 90 46 0.719 0.683
>1969 4056.484 21.779 3.289 -23.727 90 44 0.613 0.645
>1970 4058.484 21.769 3.289 -23.721 90 42 0.577 0.634
>1971 4060.485 21.844 3.289 -23.721 90 40 0.643 0.653
>1972 4062.487 21.835 3.289 -23.724 90 38 0.658 0.644
>1973 4064.487 21.849 3.289 -23.724 90 36 0.619 0.622
>1974 4066.488 21.806 3.289 -23.72 90 34 0.656 0.633
>1975 4068.488 21.797 3.289 -23.722 90 32 0.624 0.623
>1976 4070.489 21.867 3.289 -23.718 90 30 0.606 0.619
>1977 4072.489 21.877 3.289 -23.721 90 28 0.651 0.627
>1978 4074.49 21.767 3.289 -23.72 90 26 0.642 0.616
>1979 4076.491 21.763 3.289 -23.72 90 24 0.599 0.642
>1980 4078.491 21.851 3.288 -23.717 90 22 0.621 0.632
>1981 4080.492 21.822 3.289 -23.724 90 20 0.639 0.63
>1982 4082.492 21.868 3.289 -23.728 90 18 0.645 0.638
>1983 4084.493 21.804 3.289 -23.721 90 16 0.616 0.625
>1984 4086.493 21.822 3.289 -23.724 90 14 0.605 0.648
>1985 4088.494 21.816 3.289 -23.72 90 12 0.604 0.659
>1986 4090.494 21.725 3.289 -23.724 90 10 0.639 0.635
>1987 4092.495 21.855 3.289 -23.72 90 8 0.626 0.602
>1988 4094.495 21.82 3.289 -23.722 90 6 0.594 0.619
>1989 4096.495 21.829 3.289 -23.723 90 4 0.661 0.613
>1990 4098.496 21.806 3.289 -23.721 90 2 0.621 0.591
>1991 4100.496 21.823 3.289 -23.725 90 0 0.644 0.617
>
